"Interval start","Alle Pakete"
0,112955
1,0
2,4963
3,37193
4,1.25466e+06
5,949771
6,288159
7,1.84207e+06
8,133211
9,79201
10,3165
11,13645
12,613
13,1017
14,39131
15,297656
16,1.91539e+06
17,114
18,114
19,0
20,114
21,0
22,342656
23,1.80613e+06
24,114
25,0
26,0
27,114
28,114
29,0
30,114
31,1.34756e+06
32,532222
33,1031
34,319
35,9801
36,0
37,467977
38,0
39,1.65538e+06
40,114
41,0
42,0
43,960585
44,1.21286e+06
45,2943
46,0
47,114
48,0
49,114
50,1.81486e+06
51,114
52,404470
53,0
54,0
55,0
56,114
57,114
58,314
59,923
60,1084
61,0
62,114
63,314
64,0
65,1974
66,742
67,314
68,114
69,114
70,1866
71,2984
72,0
73,742
74,1459
75,2248
76,114
77,0
78,114
79,0
80,228
81,0
82,319
83,0
84,0
85,0
86,114
87,0
88,114
89,0
90,228
91,0
92,0
93,0
94,314
95,0
96,0
97,114
98,114
99,0
100,228
101,0
102,0
103,0
104,1442
105,3765
106,8114
107,114
108,0
109,114
110,228
111,0
112,0
113,0
114,0
115,0
116,542
117,428
118,0
119,114
120,114
121,428
122,228
123,942
124,4773
125,314
126,25366
127,114
128,0
129,0
130,771
131,1568
132,717
133,0
134,4760
135,718
136,114
137,11226
