"Interval start","Alle Pakete"
0,6181
1,0
2,0
3,0
4,396
5,198
6,0
7,1286
8,0
9,0
10,0
11,198
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,3922
28,0
29,0
30,0
31,0
32,198
33,0
34,0
35,0
36,0
37,915372
38,1.25036e+07
39,1.07783e+07
40,1.03105e+07
41,1.27274e+07
42,132
43,4.23868e+06
44,0
45,0
46,0
47,0
48,264
49,4.24134e+06
50,0
51,0
52,0
53,0
54,0
55,3.96909e+06
56,0
57,0
58,0
59,0
60,0
61,4.41125e+06
62,0
63,0
64,0
65,0
66,0
67,4.1864e+06
68,0
69,0
70,0
71,0
72,0
73,4.20039e+06
74,0
75,0
76,0
77,0
78,244654
79,3.88501e+06
80,0
81,0
82,0
83,0
84,7903
85,4.29626e+06
86,0
87,0
88,0
89,0
90,243598
91,3.9888e+06
92,0
93,0
94,0
95,0
96,244324
97,4.05989e+06
98,0
99,0
100,0
101,0
102,242608
103,4.0168e+06
104,0
105,0
106,0
107,0
108,244060
109,3.99722e+06
110,0
111,0
112,0
113,0
114,0
115,4.22746e+06
116,0
117,0
118,0
119,0
120,0
121,4.21357e+06
122,0
123,0
124,0
125,0
126,242542
127,3.97607e+06
128,0
129,0
130,0
131,0
132,0
133,4.17982e+06
134,0
135,0
136,0
137,0
138,242080
139,4.06709e+06
140,0
141,0
142,0
143,0
144,242344
145,3.94645e+06
146,0
147,0
148,0
149,0
150,242146
151,3.97777e+06
152,0
153,0
154,0
155,0
156,242872
157,4.00124e+06
158,0
159,0
160,0
161,0
162,243994
163,3.99533e+06
164,0
165,0
166,0
167,0
168,242212
169,3.73531e+06
170,0
171,0
172,0
173,0
174,242476
175,3.95441e+06
176,0
177,0
178,0
179,0
180,242608
181,4.13345e+06
182,0
183,0
184,0
185,0
186,242410
187,3.872e+06
188,0
189,0
190,0
191,0
192,242344
193,4.0239e+06
194,0
195,0
196,0
197,0
198,242212
199,4.00595e+06
200,0
201,0
202,0
203,0
204,242146
205,3.86234e+06
206,0
207,0
208,0
209,0
210,241882
211,4.17696e+06
212,0
213,0
214,0
215,0
216,242346
217,3.74744e+06
218,0
219,0
220,0
221,0
222,242678
223,4.06106e+06
224,0
225,0
226,0
227,0
228,241886
229,4.009e+06
230,0
231,0
232,0
233,0
234,242810
235,3.86362e+06
236,0
237,0
238,0
239,0
240,243998
241,4.11426e+06
242,0
243,0
244,0
245,0
246,244328
247,3.85192e+06
248,0
249,0
250,0
251,0
252,243998
253,3.92172e+06
254,0
255,0
256,0
257,0
258,243866
259,4.06578e+06
260,0
261,0
262,0
263,0
264,243998
265,4.0625e+06
266,0
267,0
268,0
269,0
270,245120
271,3.4425e+06
272,0
273,0
274,0
275,0
276,244328
277,4.03902e+06
278,0
279,0
280,0
281,0
282,242150
283,4.01058e+06
284,0
285,0
286,0
287,0
288,243074
289,3.81416e+06
290,0
291,0
292,0
293,0
294,243734
295,4.04623e+06
296,0
297,0
298,0
299,0
300,242612
301,4.05762e+06
302,0
303,0
304,0
305,0
306,242084
307,3.87582e+06
308,0
309,0
310,0
311,0
312,242942
313,3.97437e+06
314,0
315,0
316,0
317,0
318,242678
319,3.96578e+06
320,0
321,0
322,0
323,0
324,242546
325,4.12166e+06
326,0
327,0
328,0
329,0
330,242414
331,3.87301e+06
332,0
333,0
334,0
335,0
336,243536
337,4.0313e+06
338,0
339,0
340,0
341,0
342,244724
343,3.95596e+06
344,0
345,0
346,0
347,0
348,242546
349,4.01228e+06
350,0
351,0
352,0
353,0
354,244130
355,4.0761e+06
356,0
357,0
358,0
359,0
360,243338
361,3.95498e+06
362,0
363,0
364,0
365,0
366,243668
367,3.76197e+06
368,0
369,0
370,0
371,0
372,242810
373,3.81538e+06
374,0
375,0
376,0
377,0
378,243008
379,3.94536e+06
380,0
381,0
382,0
383,0
384,242810
385,4.07399e+06
386,0
387,0
388,0
389,0
390,242480
391,3.96692e+06
392,0
393,0
394,0
395,0
396,242414
397,3.98326e+06
398,0
399,0
400,0
401,0
402,242414
403,3.7659e+06
404,0
405,0
406,0
407,0
408,242150
409,3.70692e+06
410,0
411,0
412,0
413,0
414,241886
415,4.02285e+06
416,0
417,0
418,0
419,0
420,242348
421,3.98415e+06
422,0
423,0
424,0
425,0
426,243140
427,4.08231e+06
428,0
429,0
430,0
431,0
432,243470
433,3.60373e+06
434,0
435,0
436,0
437,0
438,242084
439,3.96478e+06
440,0
441,0
442,0
443,0
444,242084
445,3.93849e+06
446,0
447,0
448,0
449,244658
450,0
451,3.8228e+06
452,0
453,0
454,0
455,0
456,242612
457,3.81811e+06
458,0
459,0
460,0
461,243140
462,0
463,3.52418e+06
464,0
465,0
466,0
467,0
468,242018
469,4.08217e+06
470,0
471,0
472,0
473,242348
474,0
475,4.02697e+06
476,0
477,0
478,0
479,242150
480,0
481,3.99155e+06
482,0
483,0
484,0
485,0
486,242282
487,4.01259e+06
488,0
489,0
490,0
491,243140
492,0
493,3.99052e+06
494,0
495,0
496,0
497,0
498,242612
499,3.94168e+06
500,0
501,0
502,0
503,242546
504,0
505,4.00809e+06
506,0
507,0
508,0
509,242546
510,0
511,3.96069e+06
512,0
513,0
514,0
515,0
516,242876
517,3.97655e+06
518,0
519,0
520,0
521,242150
522,0
523,4.11168e+06
524,0
525,0
526,0
527,0
528,242942
529,3.94682e+06
530,0
531,0
532,0
533,242480
534,0
535,3.82733e+06
536,0
537,0
538,0
539,243074
540,0
541,3.84588e+06
542,0
543,0
544,0
545,242018
546,0
547,4.0805e+06
548,0
549,0
550,0
551,242282
552,0
553,3.94079e+06
554,0
555,0
556,0
557,242150
558,0
559,4.02042e+06
560,0
561,0
562,0
563,242348
564,0
565,3.96351e+06
566,0
567,0
568,0
569,242150
570,0
571,3.73653e+06
572,0
573,0
574,0
575,242810
576,0
577,2.03822e+06
578,0
579,0
580,0
581,242414
582,0
583,1.18432e+06
584,0
585,0
586,0
587,242216
588,0
589,3.49727e+06
590,0
591,0
592,0
593,242414
594,0
595,3.96275e+06
596,0
597,0
598,0
599,2.54932e+07
600,0
601,7.84367e+07
602,1.14598e+08
603,1.14877e+08
604,9.38438e+07
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,126
