"Interval start","Alle Pakete"
4,862665
5,0
6,0
7,0
8,0
9,838595
10,0
11,0
12,0
13,0
14,881450
15,0
16,0
17,0
18,0
19,737970
20,0
21,0
22,388
23,388
24,780335
25,0
26,0
27,0
28,0
29,967231
30,0
31,0
32,0
33,0
34,701718
35,0
36,0
37,0
38,0
39,708310
40,0
41,0
42,0
43,0
44,813265
45,0
46,0
47,0
48,0
49,768079
50,0
51,0
52,0
53,0
54,971785
55,0
56,0
57,0
58,0
59,837941
60,0
61,0
62,0
63,0
64,816077
65,0
66,0
67,0
68,0
69,929017
70,0
71,0
72,0
73,0
74,865317
75,0
76,0
77,0
78,0
79,958224
80,0
81,0
82,0
83,0
84,679300
85,0
86,0
87,0
88,0
89,714250
90,0
91,0
92,0
93,0
94,548142
95,0
96,0
97,0
98,0
99,555023
100,0
101,0
102,0
103,0
104,683185
105,0
106,0
107,0
108,0
109,572299
110,0
111,0
112,0
113,0
114,539271
115,0
116,0
117,0
118,0
119,639537
120,0
121,0
122,243
123,0
124,647689
125,0
126,0
127,0
128,0
129,620052
130,0
131,0
132,0
133,0
134,584883
135,0
136,0
137,0
138,0
139,468942
140,0
141,0
142,0
143,0
144,568651
145,0
146,0
147,0
148,0
149,644067
150,0
151,0
152,0
153,0
154,889593
155,0
156,0
157,0
158,0
159,684546
160,0
161,0
162,0
163,0
164,768948
165,0
166,0
167,0
168,0
169,528428
170,0
171,0
172,0
173,0
174,847224
175,0
176,0
177,0
178,0
179,503593
180,0
181,0
182,0
183,0
184,824166
185,0
186,0
187,0
188,0
189,500690
190,0
191,0
192,0
193,0
194,451464
195,0
196,0
197,0
198,0
199,785968
200,0
201,0
202,0
203,0
204,808277
205,0
206,0
207,0
208,0
209,684636
210,0
211,0
212,0
213,0
214,937409
