"Interval start","Alle Pakete"
0,7.08837e+06
1,1.18797e+07
2,1.19629e+07
3,8.96706e+06
4,66
5,2.47621e+06
6,0
7,0
8,0
9,2.8999e+06
10,132
11,243362
12,0
13,0
14,2.81043e+06
15,0
16,0
17,243775
18,0
19,2.84901e+06
20,0
21,0
22,178
23,243070
24,2.80994e+06
25,0
26,0
27,178
28,0
29,3.10968e+06
30,0
31,0
32,178
33,0
34,2.71116e+06
35,242607
36,0
37,312
38,0
39,2.79729e+06
40,0
41,243004
42,312
43,0
44,2.94187e+06
45,102
46,0
47,242854
48,0
49,2.80947e+06
50,0
51,0
52,312
53,242739
54,2.62285e+06
55,0
56,0
57,348
58,0
59,3.52092e+07
60,4.26796e+07
61,0
62,348
63,0
64,0
65,0
66,0
67,348
68,0
69,0
70,0
71,0
72,348
73,0
74,0
75,0
76,0
77,88
78,0
79,0
80,0
81,0
82,88
83,0
84,0
85,0
86,0
87,88
88,0
89,0
90,0
91,0
92,88
93,0
94,0
95,0
96,0
97,154
98,0
99,0
100,0
101,0
102,154
103,0
104,0
105,0
106,0
107,256
108,0
109,0
110,0
111,0
112,154
113,0
114,0
115,0
116,0
117,172
118,0
119,0
120,0
121,0
122,172
123,0
124,0
125,0
126,0
127,172
128,0
129,0
130,0
131,0
132,172
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,126
141,0
142,0
143,0
144,0
145,102
