"Interval start","Alle Pakete"
0,1.34218e+07
1,9.03788e+06
2,9.13385e+06
3,8.7329e+06
4,132
5,1.69505e+06
6,161237
7,70
8,1.70971e+06
9,0
10,160906
11,1.73635e+06
12,0
13,0
14,1.89583e+06
15,0
16,0
17,1.63962e+06
18,160907
19,0
20,1.72339e+06
21,0
22,161170
23,1.72355e+06
24,0
25,0
26,1.90244e+06
27,0
28,0
29,1.63106e+06
30,161237
31,0
32,1.69385e+06
33,0
34,161368
35,1.74939e+06
36,0
37,0
38,1.87927e+06
39,102
40,0
41,1.69048e+06
42,161105
43,0
44,1.70088e+06
45,0
46,161170
47,1.75517e+06
48,0
49,0
50,1.86424e+06
51,0
52,0
53,1.68456e+06
54,161171
55,0
56,1.60773e+06
57,0
58,160642
59,1.57298e+06
60,0
61,0
62,7.60325e+07
63,0
64,0
65,0
66,0
67,264
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,390
132,0
133,0
134,0
135,0
136,204
