"Interval start","Alle Pakete"
9,798224
10,0
11,0
12,0
13,0
14,1.14665e+06
15,0
16,0
17,0
18,0
19,1.25051e+06
20,0
21,0
22,0
23,0
24,1.09013e+06
25,0
26,0
27,0
28,0
29,1.09534e+06
30,0
31,0
32,0
33,0
34,1.05702e+06
35,0
36,0
37,0
38,0
39,643141
40,0
41,0
42,0
43,0
44,1.10471e+06
45,0
46,0
47,0
48,0
49,1.6885e+06
50,0
51,0
52,0
53,0
54,872978
55,0
56,0
57,0
58,0
59,994024
60,0
61,0
62,0
63,0
64,879752
65,0
66,0
67,0
68,0
69,615791
70,0
71,0
72,0
73,0
74,663606
75,0
76,0
77,0
78,0
79,444241
80,0
81,0
82,0
83,0
84,712946
85,0
86,0
87,0
88,0
89,698999
90,0
91,0
92,0
93,0
94,464863
95,0
96,0
97,0
98,0
99,716224
100,0
101,0
102,0
103,0
104,1.02595e+06
105,0
106,0
107,0
108,0
109,1.35574e+06
110,0
111,0
112,0
113,0
114,1.18157e+06
115,0
116,0
117,0
118,0
119,1.04119e+06
120,0
121,0
122,0
123,0
124,755892
125,0
126,0
127,0
128,0
129,931639
130,0
131,0
132,0
133,0
134,1.27844e+06
135,0
136,0
137,0
138,0
139,1.33519e+06
140,0
141,0
142,0
143,0
144,1.55355e+06
145,0
146,0
147,0
148,0
149,1.68927e+06
150,0
151,0
152,0
153,0
154,1.7603e+06
155,157
156,0
157,157
158,0
159,1.24037e+06
160,0
161,157
162,157
163,0
164,509910
165,0
166,0
167,0
168,157
169,733576
170,0
171,0
172,0
173,0
174,1.3366e+06
175,0
176,157
177,0
178,0
179,1.52013e+06
180,0
181,0
182,0
183,0
184,1.24138e+06
185,0
186,0
187,0
188,0
189,1.09678e+06
190,0
191,0
192,157
193,0
194,1.46027e+06
195,0
196,0
197,0
198,0
199,1.32325e+06
200,0
201,0
202,0
203,0
204,1.56658e+06
205,0
206,0
207,0
208,0
209,833963
210,0
211,0
212,0
213,114
