"Interval start","Alle Pakete"
4,449641
5,0
6,0
7,102
8,0
9,488554
10,0
11,0
12,0
13,0
14,590653
15,0
16,0
17,0
18,0
19,606347
20,0
21,0
22,0
23,0
24,679065
25,0
26,0
27,0
28,0
29,515817
30,0
31,0
32,0
33,0
34,1.51787e+06
35,0
36,0
37,0
38,0
39,751976
40,0
41,0
42,0
43,0
44,768186
45,0
46,0
47,0
48,0
49,785363
50,0
51,0
52,0
53,0
54,1.24285e+06
55,0
56,0
57,0
58,0
59,954821
60,0
61,0
62,0
63,0
64,969189
65,0
66,0
67,0
68,0
69,884593
70,0
71,0
72,0
73,0
74,494353
75,0
76,0
77,0
78,0
79,985879
80,0
81,0
82,0
83,0
84,1.06898e+06
85,0
86,0
87,0
88,0
89,1.01438e+06
90,0
91,0
92,0
93,0
94,1.2581e+06
95,0
96,0
97,0
98,157
99,1.17816e+06
100,0
101,0
102,0
103,0
104,1.30758e+06
105,0
106,157
107,157
108,0
109,1.11791e+06
110,0
111,0
112,0
113,157
114,751409
115,0
116,0
117,0
118,0
119,899210
120,0
121,157
122,0
123,0
124,839376
125,0
126,0
127,0
128,0
129,987581
130,0
131,0
132,0
133,0
134,1.02419e+06
135,0
136,0
137,157
138,0
139,1.01452e+06
140,0
141,0
142,0
143,0
144,1.08238e+06
145,0
146,0
147,0
148,0
149,943159
150,0
151,0
152,0
153,0
154,766804
155,0
156,0
157,0
158,0
159,787341
160,0
161,0
162,0
163,0
164,835738
165,0
166,0
167,0
168,0
169,957284
170,0
171,0
172,0
173,0
174,825956
175,0
176,0
177,0
178,0
179,782247
180,0
181,0
182,0
183,0
184,885773
185,0
186,0
187,0
188,0
189,882746
190,0
191,0
192,0
193,0
194,789249
195,0
196,0
197,0
198,0
199,803060
200,0
201,0
202,0
203,0
204,833930
205,0
206,0
207,0
208,0
209,891244
210,388
