"Interval start","Alle Pakete"
0,2
1,0
2,0
3,2
4,0
5,0
6,4
7,4
8,0
9,0
10,2
11,3
12,0
13,0
14,0
15,0
16,746
17,685
18,81
19,98
20,83
21,283
22,476
23,519
24,94
25,918
26,699
27,23
28,827
29,18
30,15
31,24
32,342
33,49
34,22
35,156
36,116
37,7
38,1
39,0
40,543
41,915
42,113
43,117
44,332
45,152
46,23
47,3
48,986
49,239
50,15
51,875
52,0
53,2
54,2
55,8
56,255
57,0
58,25
59,5
60,1055
61,25
62,0
63,8
64,1
65,8
66,332
67,864
68,2
69,0
70,0
71,2
72,0
73,4
74,463
75,728
76,6
77,0
78,9
79,6
80,7
81,28
82,5
83,316
84,6
85,6
86,117
87,963
88,16
89,0
90,0
91,0
