"Interval start","Alle Pakete"
0,6181
1,0
2,0
3,0
4,396
5,198
6,0
7,1286
8,0
9,0
10,0
11,198
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,3922
28,0
29,0
30,0
31,0
32,198
33,0
34,0
35,0
36,0
37,915372
38,1.25036e+07
39,1.07783e+07
40,1.03105e+07
41,1.27274e+07
42,132
43,4.23868e+06
44,0
45,0
46,0
47,0
48,264
49,4.24134e+06
50,0
51,0
52,0
53,0
54,0
55,3.96909e+06
56,0
57,0
58,0
59,0
60,0
61,4.41125e+06
62,0
63,0
64,0
65,0
66,0
67,4.1864e+06
68,0
69,0
70,0
71,0
72,0
73,4.20039e+06
74,0
75,0
76,0
77,0
78,244654
79,3.88501e+06
80,0
81,0
82,0
83,0
84,7903
85,4.29626e+06
86,0
87,0
88,0
89,0
90,243598
91,3.9888e+06
92,0
93,0
94,0
95,0
96,244324
97,4.05989e+06
98,0
99,0
100,0
101,0
102,242608
103,4.0168e+06
104,0
105,0
106,0
107,0
108,244060
109,3.99722e+06
110,0
111,0
112,0
113,0
114,0
115,4.22746e+06
116,0
117,0
118,0
119,0
120,0
121,4.21357e+06
122,0
123,0
124,0
125,0
126,242542
127,3.97607e+06
128,0
129,0
130,0
131,0
132,0
133,4.17982e+06
134,0
135,0
136,0
137,0
138,242080
139,4.06709e+06
140,0
141,0
142,0
143,0
144,242344
145,3.94645e+06
146,0
147,0
148,0
149,0
150,242146
151,3.97777e+06
152,0
153,0
154,0
155,0
156,242872
157,4.00124e+06
158,0
159,0
160,0
161,0
162,243994
163,3.99533e+06
164,0
165,0
166,0
167,0
168,242212
169,3.73531e+06
170,0
171,0
172,0
173,0
174,242476
175,3.95441e+06
176,0
177,0
178,0
179,0
180,242608
181,4.13345e+06
182,0
183,0
184,0
185,0
186,242410
187,3.872e+06
188,0
189,0
190,0
191,0
192,242344
193,4.0239e+06
194,0
195,0
196,0
197,0
198,242212
199,4.00595e+06
200,0
201,0
202,0
203,0
204,242146
205,3.86234e+06
206,0
207,0
208,0
209,0
210,241882
211,4.17696e+06
212,0
213,0
214,0
215,0
216,242346
217,3.74744e+06
218,0
219,0
220,0
221,0
222,242678
223,4.06106e+06
224,0
225,0
226,0
227,0
228,241886
229,4.0088e+06
