"Interval start","Alle Pakete"
0,51939
1,0
2,12638
3,0
4,0
5,1767
6,0
7,488
8,0
9,0
10,975493
11,925740
12,169976
13,322465
14,891884
15,1.54665e+06
16,31115
17,524
18,0
19,0
20,1893
21,57415
22,0
23,135376
24,281964
25,114
26,801
27,0
28,508
29,14481
30,1.81421e+06
31,13840
32,0
33,114
34,0
35,228
36,456
37,0
38,0
39,433732
40,437813
41,1.4197e+06
42,0
43,114
44,0
45,228
46,0
47,0
48,0
49,0
50,1580
51,1.6021e+06
52,0
53,114
54,446079
55,114
56,114
57,0
58,314
59,1071
60,736
61,1140
62,1.91428e+06
63,0
64,114
65,1039
66,0
67,0
68,475297
69,628
70,656
71,1768
72,1.77185e+06
73,314
74,1056
75,0
76,114
77,0
78,0
79,628
80,1574
81,447452
82,1.56559e+06
83,1179
84,491473
85,0
86,114
87,0
88,0
89,0
90,114
91,2430
92,456
93,0
94,228
95,65140
96,1.96138e+06
97,0
98,0
99,483205
100,114
101,228
102,456
103,0
104,0
105,234485
106,1.56395e+06
107,0
108,0
109,0
110,1355
111,2797
112,1.65198e+06
113,0
114,461485
115,114
116,0
117,428
118,0
119,0
120,0
121,114
122,456
123,228
124,114
125,114
126,456
127,114
128,856
129,696129
130,1.33648e+06
131,742
132,542
133,1170
134,0
135,0
136,0
137,0
138,628
139,0
140,1577
141,471105
142,228
143,228
144,0
145,2007
146,1.84402e+06
147,0
148,0
149,11986
150,159
151,658
152,748
153,0
154,77
155,0
156,114
157,0
158,0
159,563
160,354417
161,1.46476e+06
162,228
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1577
171,647
172,465739
173,0
174,0
175,228
176,0
177,0
178,0
179,0
180,114
181,908787
182,1.17233e+06
183,1599
184,1066
185,1546
186,2132
187,0
188,0
189,0
190,114
191,1066
192,228
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1578
201,0
202,2.31228e+06
203,127069
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,114
212,0
213,228
214,0
215,0
216,0
217,831665
218,1.134e+06
219,0
220,0
221,114
222,0
223,114
224,0
225,929
226,0
227,0
228,114
229,0
230,1517
231,2168
232,471630
233,1.88162e+06
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,114
242,0
243,114
244,114
245,0
246,0
247,0
248,0
249,2.11378e+06
250,0
251,114
252,0
253,0
254,114
255,0
256,0
257,0
258,0
259,114
260,1464
261,2305
262,373755
263,0
264,114
265,1410
266,0
267,512
268,1359
269,1.72152e+06
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,114
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,114
290,1464
291,2124
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,319
300,0
301,0
302,0
303,0
304,0
305,1038
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1338
321,4925
322,2098
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,931
346,0
347,0
348,0
349,0
350,1446
351,2243
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1460
381,2229
382,0
383,0
384,0
385,929
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,2599
406,0
407,0
408,0
409,486
410,1348
411,3147
412,0
413,3263
