"Interval start","Alle Pakete"
0,52973
1,0
2,5077
3,7688
4,0
5,989134
6,967154
7,1.62239e+06
8,313875
9,178480
10,1.21254e+06
11,3046
12,938
13,228
14,1.54574e+06
15,544780
16,228
17,387587
18,0
19,14970
20,801
21,1105
22,1.40905e+06
23,0
24,0
25,0
26,1.57753e+06
27,114
28,474655
29,114
30,114
31,2372
32,2.09917e+06
33,0
34,0
35,0
36,638
37,114
38,0
39,1324
40,2.14402e+06
41,1035
42,0
43,0
44,498050
45,1448
46,2650
47,1.08644e+06
48,704561
49,114
50,0
51,342
52,0
53,1.82364e+06
54,0
55,924
56,0
57,0
58,283577
59,438735
60,1.40372e+06
61,228
62,7598
63,0
64,0
65,406175
66,942
67,314
68,114
69,0
70,228
71,228
72,0
73,0
74,0
75,18523
76,2083
77,160
78,114
79,0
80,228
81,228
82,0
83,0
84,0
85,0
86,114
87,0
88,114
89,0
90,228
91,0
92,228
93,0
94,0
95,1349
96,0
97,0
98,0
99,114
100,228
101,367
102,114
103,0
104,0
105,1433
106,2362
107,0
108,0
109,114
110,0
111,228
112,114
113,0
114,0
115,0
116,0
117,0
118,314
119,114
120,0
121,228
122,114
123,0
124,228
125,1256
126,0
127,0
128,0
129,114
130,0
131,114
132,342
133,0
134,628
135,2469
136,0
137,0
138,0
139,0
140,0
141,114
142,0
143,21753
144,3424
145,14079
146,6533
