"Interval start","Alle Pakete"
0,3.30025e+06
1,1.19467e+07
2,1.4041e+07
3,1.29301e+07
4,1.45469e+06
5,66
6,0
7,3.74441e+06
8,0
9,0
10,0
11,0
12,132
13,3.53463e+06
14,0
15,0
16,0
17,0
18,3.6886e+06
19,0
20,0
21,0
22,0
23,0
24,3.6115e+06
25,0
26,0
27,0
28,0
29,3.75413e+06
30,0
31,0
32,0
33,0
34,0
35,3.67094e+06
36,0
37,0
38,0
39,0
40,0
41,3.73429e+06
42,0
43,0
44,0
45,0
46,3.80151e+06
47,0
48,0
49,0
50,0
51,0
52,3.58572e+06
53,0
54,0
55,0
56,0
57,3.69225e+06
58,0
59,0
60,0
61,0
62,0
63,3.71597e+06
64,0
65,0
66,0
67,0
68,0
69,3.50799e+06
70,0
71,0
72,0
73,0
74,3.63923e+06
75,0
76,0
77,0
78,0
79,0
80,3.76547e+06
81,0
82,0
83,0
84,0
85,3.79903e+06
86,0
87,0
88,0
89,0
90,0
91,3.43238e+06
92,0
93,0
94,0
95,0
96,0
97,3.67548e+06
98,0
99,0
100,0
101,0
102,3.57157e+06
103,0
104,0
105,0
106,0
107,0
108,3.28962e+06
109,0
110,0
111,0
112,0
113,3.75065e+06
114,0
115,0
116,0
117,0
118,0
119,3.68284e+06
120,0
121,0
122,0
123,0
124,0
125,3.71545e+06
126,0
127,0
128,0
129,0
130,3.71822e+06
131,0
132,0
133,0
134,0
135,0
136,3.70951e+06
137,0
138,0
139,0
140,0
141,3.77745e+06
142,0
143,0
144,0
145,0
146,0
147,3.60918e+06
148,0
149,0
150,0
151,0
152,0
153,3.70758e+06
154,0
155,0
156,0
157,0
158,3.66234e+06
159,0
160,0
161,0
162,0
163,0
164,3.54601e+06
165,0
166,0
167,0
168,0
169,3.7579e+06
170,0
171,0
172,0
173,0
174,0
175,3.81806e+06
176,0
177,0
178,0
179,0
180,0
181,3.69662e+06
182,0
183,0
184,0
185,0
186,3.78423e+06
187,0
188,0
189,0
190,0
191,0
192,3.64747e+06
193,0
194,0
195,0
196,0
197,476279
198,3.16448e+06
199,0
200,0
201,0
202,0
203,3.66288e+06
204,0
205,0
206,0
207,0
208,0
209,3.67299e+06
210,0
211,0
212,0
213,0
214,3.69554e+06
215,0
216,0
217,0
218,0
219,0
220,3.56986e+06
221,0
222,0
223,0
224,0
225,0
226,3.84306e+06
227,0
228,0
229,0
230,0
231,3.63818e+06
232,0
233,0
234,0
235,0
236,0
237,3.80516e+06
238,0
239,0
240,0
241,0
242,3.70038e+06
243,0
244,0
245,0
246,0
247,0
248,3.79283e+06
249,0
250,0
251,0
252,0
253,0
254,3.57536e+06
255,0
256,0
257,0
258,0
259,3.64083e+06
260,0
261,0
262,0
263,0
264,0
265,3.83753e+06
266,0
267,0
268,0
269,0
270,3.66038e+06
271,0
272,0
273,0
274,0
275,0
276,3.71138e+06
277,0
278,0
279,0
280,0
281,0
282,3.7576e+06
283,0
284,0
285,0
286,0
287,3.76424e+06
288,0
289,0
290,0
291,0
292,0
293,3.57577e+06
294,0
295,0
296,0
297,0
298,3.66185e+06
299,0
300,0
301,0
302,0
303,0
304,3.67613e+06
305,0
306,0
307,0
308,0
309,0
310,3.74978e+06
311,0
312,0
313,0
314,0
315,3.63326e+06
316,0
317,0
318,0
319,0
320,0
321,3.65928e+06
322,0
323,0
324,0
325,0
326,1.71084e+06
327,0
328,0
329,0
330,0
331,0
