"Interval start","Alle Pakete"
0,3.50799e+06
1,0
2,0
3,0
4,0
5,3.6255e+06
6,0
7,0
8,0
9,0
10,0
11,3.76481e+06
12,0
13,0
14,0
15,0
16,3.79547e+06
17,0
18,0
19,0
20,0
21,102
22,3.4207e+06
23,0
24,0
25,0
26,0
27,2.39461e+06
28,1.27051e+06
29,0
30,0
31,0
32,0
33,3.57488e+06
34,0
35,0
36,0
37,0
38,0
39,3.27919e+06
40,0
41,0
42,0
43,0
44,3.73858e+06
45,0
46,412
47,0
48,0
49,0
50,3.66806e+06
51,514
52,0
53,0
54,0
55,0
56,3.70273e+06
57,0
58,0
59,0
60,0
61,3.71098e+06
62,0
63,0
64,0
65,0
66,522
67,3.7035e+06
68,0
69,0
70,0
71,522
72,3.76802e+06
73,0
74,0
75,0
76,524
77,0
78,3.59981e+06
79,0
80,0
81,522
82,0
83,102
84,3.70329e+06
85,0
86,578
87,0
88,0
89,3.64333e+06
90,0
91,576
92,0
93,0
94,0
95,3.53664e+06
96,576
97,0
98,0
99,0
100,3.75704e+06
101,576
102,0
103,0
104,0
105,0
106,3.82341e+06
107,0
108,0
109,0
110,0
111,204
112,3.68244e+06
113,0
114,0
115,0
116,306
117,3.7839e+06
118,0
119,0
120,0
121,204
122,0
123,3.64602e+06
124,0
125,0
126,364
127,0
128,0
129,3.64195e+06
130,0
131,364
132,0
133,0
134,3.6638e+06
135,0
136,364
137,0
138,0
139,0
140,3.67761e+06
141,364
142,0
143,0
144,0
145,3.69558e+06
146,400
147,0
148,0
149,0
150,0
151,3.56848e+06
152,0
153,0
154,0
155,0
156,400
157,3.83937e+06
158,0
159,0
160,0
161,400
162,3.62148e+06
163,0
164,0
165,0
166,0
167,0
168,3.7919e+06
169,0
170,0
171,0
172,0
173,3.69933e+06
