"Interval start","Alle Pakete"
7,569076
8,0
9,0
10,0
11,0
12,675281
13,0
14,0
15,0
16,0
17,474636
18,0
19,0
20,0
21,0
22,492808
23,0
24,0
25,0
26,0
27,524212
28,0
29,0
30,0
31,0
32,433559
33,0
34,0
35,0
36,0
37,409979
38,157
39,157
40,0
41,157
42,521269
43,0
44,0
45,157
46,0
47,584076
48,0
49,0
50,0
51,0
52,672327
53,157
54,0
55,0
56,0
57,452644
58,0
59,0
60,0
61,0
62,615690
63,0
64,0
65,0
66,0
67,554325
68,0
69,157
70,0
71,0
72,430215
73,0
74,0
75,0
76,0
77,478684
78,0
79,0
80,0
81,0
82,452147
83,0
84,0
85,0
86,0
87,641917
88,0
89,0
90,0
91,0
92,589873
93,0
94,0
95,0
96,0
97,487200
98,0
99,0
100,0
101,157
102,491363
103,0
104,0
105,0
106,0
107,446963
108,0
109,0
110,0
111,0
112,440572
113,0
114,0
115,0
116,0
117,630431
118,0
119,0
120,0
121,0
122,621993
123,0
124,0
125,0
126,0
127,550596
128,0
129,0
130,0
131,0
132,629427
133,0
134,0
135,0
136,0
137,639583
138,0
139,0
140,0
141,0
142,597520
143,0
144,0
145,0
146,0
147,659682
148,0
149,0
150,0
151,0
152,626513
153,0
154,0
155,0
156,0
157,580765
158,0
159,0
160,0
161,0
162,475268
163,0
164,0
165,0
166,0
167,377877
168,0
169,0
170,0
171,0
172,516827
173,0
174,0
175,0
176,0
177,627175
178,0
179,0
180,0
181,0
182,673079
183,0
184,0
185,0
186,0
187,674284
188,0
189,0
190,0
191,0
192,675158
193,0
194,0
195,0
196,0
197,610250
198,0
199,0
200,0
201,0
202,526855
203,0
204,0
205,0
206,0
207,564211
208,0
209,0
210,0
211,0
212,520632
213,0
214,0
215,0
216,0
217,534521
218,0
219,0
220,114
