"Interval start","Alle Pakete"
19,1.13647e+06
20,0
21,0
22,0
23,0
24,1.17033e+06
25,0
26,0
27,0
28,0
29,1.11031e+06
30,0
31,0
32,0
33,0
34,1.28189e+06
35,0
36,0
37,0
38,0
39,1.20826e+06
40,0
41,0
42,0
43,0
44,1.19954e+06
45,0
46,0
47,0
48,0
49,961732
50,0
51,0
52,0
53,0
54,938008
55,0
56,0
57,0
58,0
59,893703
60,0
61,0
62,0
63,0
64,875960
65,0
66,0
67,0
68,0
69,1.19388e+06
70,0
71,0
72,0
73,0
74,1.20888e+06
75,0
76,0
77,0
78,0
79,1.12927e+06
80,0
81,0
82,0
83,0
84,1.13796e+06
85,0
86,0
87,0
88,0
89,1.21081e+06
90,0
91,0
92,0
93,0
94,1.25571e+06
95,0
96,0
97,0
98,0
99,1.07329e+06
100,0
101,0
102,0
103,0
104,997078
105,0
106,0
107,0
108,0
109,902279
110,0
111,0
112,0
113,0
114,1.34827e+06
115,0
116,0
117,0
118,0
119,1.1084e+06
120,0
121,0
122,0
123,0
124,1.22553e+06
125,0
126,0
127,0
128,0
129,756351
130,0
131,0
132,0
133,0
134,979862
135,0
136,0
137,0
138,0
139,765512
140,0
141,0
142,0
143,0
144,1.14164e+06
145,0
146,0
147,0
148,0
149,1.16522e+06
150,0
151,0
152,0
153,0
154,1.13959e+06
155,0
156,0
157,0
158,0
159,834078
160,0
161,0
162,0
163,0
164,770654
165,0
166,0
167,0
168,0
169,764277
170,0
171,0
172,0
173,0
174,1.10049e+06
175,0
176,0
177,0
178,0
179,1.2388e+06
180,0
181,0
182,0
183,0
184,1.28874e+06
185,0
186,0
187,0
188,0
189,1.1587e+06
190,0
191,0
192,0
193,0
194,1.0364e+06
195,0
196,0
197,0
198,0
199,1.26316e+06
200,0
201,0
202,0
203,0
204,1.29627e+06
205,0
206,0
207,0
208,0
209,1.06007e+06
210,0
211,0
212,0
213,0
214,0
215,126
