"Interval start","Alle Pakete"
9,437387
10,0
11,0
12,0
13,0
14,450991
15,0
16,0
17,0
18,0
19,573347
20,0
21,157
22,0
23,0
24,591150
25,0
26,0
27,157
28,0
29,590691
30,157
31,0
32,157
33,0
34,601708
35,0
36,157
37,0
38,0
39,647819
40,0
41,0
42,0
43,0
44,612662
45,0
46,0
47,0
48,0
49,538565
50,0
51,0
52,0
53,0
54,494784
55,0
56,0
57,0
58,0
59,478105
60,157
61,0
62,0
63,0
64,504610
65,0
66,0
67,0
68,0
69,573626
70,0
71,0
72,0
73,0
74,602170
75,0
76,0
77,0
78,0
79,560230
80,0
81,0
82,0
83,0
84,552378
85,0
86,0
87,0
88,0
89,613679
90,0
91,0
92,157
93,0
94,619503
95,0
96,0
97,0
98,0
99,562152
100,0
101,0
102,0
103,0
104,512556
105,0
106,0
107,0
108,0
109,509776
110,0
111,0
112,0
113,0
114,641421
115,0
116,0
117,0
118,0
119,566369
120,0
121,0
122,0
123,0
124,615502
125,0
126,0
127,0
128,0
129,411482
130,0
131,0
132,0
133,0
134,564734
135,0
136,0
137,0
138,0
139,417901
140,0
141,0
142,0
143,0
144,645247
145,0
146,0
147,0
148,0
149,661476
150,0
151,0
152,0
153,0
154,595513
155,0
156,0
157,0
158,0
159,473228
160,0
161,0
162,0
163,0
164,436897
165,0
166,0
167,0
168,0
169,429793
170,0
171,0
172,0
173,0
174,584691
175,0
176,0
177,0
178,0
179,649839
180,0
181,0
182,0
183,0
184,663376
185,0
186,0
187,0
188,0
189,649857
190,0
191,0
192,0
193,0
194,575759
195,0
196,0
197,0
198,0
199,657579
200,0
201,0
202,0
203,0
204,640772
205,0
206,0
207,0
208,0
209,604848
210,0
211,0
212,0
213,0
214,568540
215,0
216,0
217,0
218,0
219,0
220,114
