"Interval start","Alle Pakete"
12,504469
13,0
14,0
15,0
16,114
17,0
18,553504
19,0
20,0
21,0
22,0
23,102
24,544508
25,0
26,0
27,0
28,0
29,0
30,601154
31,0
32,0
33,0
34,0
35,0
36,770195
37,0
38,0
39,0
40,0
41,0
42,479506
43,0
44,0
45,0
46,0
47,0
48,579114
49,0
50,0
51,0
52,0
53,0
54,661369
55,0
56,0
57,0
58,0
59,0
60,547433
61,0
62,0
63,0
64,0
65,0
66,524596
67,0
68,0
69,0
70,0
71,102
72,474337
73,0
74,0
75,0
76,0
77,0
78,512774
79,0
80,0
81,0
82,0
83,0
84,539483
85,0
86,0
87,0
88,0
89,0
90,641577
91,0
92,0
93,0
94,0
95,0
96,635822
97,0
98,0
99,0
100,0
101,243
102,682218
103,0
104,0
105,0
106,0
107,0
108,514472
109,0
110,0
111,0
112,0
113,0
114,588337
115,0
116,0
117,0
118,0
119,102
120,800578
121,0
122,0
123,0
124,0
125,0
126,582378
127,0
128,0
129,0
130,0
131,0
132,586177
133,0
134,0
135,0
136,0
137,0
138,543589
139,0
140,0
141,0
142,0
143,0
144,630296
145,0
146,0
147,0
148,0
149,0
150,525162
151,0
152,0
153,0
154,0
155,0
156,631068
157,0
158,0
159,0
160,0
161,0
162,516514
163,0
164,0
165,0
166,114
167,102
