"Interval start","Alle Pakete"
7,636690
8,0
9,0
10,0
11,0
12,114
13,659042
14,0
15,0
16,0
17,102
18,157
19,589269
20,0
21,0
22,0
23,0
24,0
25,667260
26,0
27,0
28,0
29,0
30,0
31,604640
32,0
33,0
34,0
35,0
36,0
37,642249
38,0
39,0
40,0
41,0
42,0
43,659345
44,0
45,0
46,0
47,0
48,0
49,624111
50,0
51,0
52,0
53,0
54,102
55,652502
56,0
57,0
58,0
59,0
60,0
61,722406
62,0
63,0
64,0
65,0
66,0
67,716960
68,0
69,0
70,0
71,0
72,0
73,630036
74,0
75,0
76,0
77,0
78,0
79,744103
80,0
81,0
82,0
83,0
84,0
85,750515
86,0
87,0
88,0
89,0
90,102
91,667991
92,0
93,0
94,0
95,0
96,0
97,698057
98,0
99,0
100,0
101,0
102,0
103,754520
104,0
105,0
106,0
107,0
108,0
109,782397
110,0
111,0
112,0
113,0
114,0
115,733518
116,0
117,0
118,0
119,0
120,0
121,696727
122,0
123,0
124,0
125,0
126,102
127,691207
128,0
129,0
130,0
131,0
132,0
133,726501
134,0
135,0
136,0
137,0
138,0
139,731118
140,0
141,0
142,0
143,0
144,0
145,745375
146,0
147,0
148,0
149,0
150,0
151,789317
152,0
153,0
154,0
155,0
156,0
157,663373
158,0
159,0
160,0
161,0
162,102
163,637421
164,0
165,0
166,0
167,0
168,0
169,658315
170,0
171,0
172,0
173,0
174,0
175,680392
176,0
177,0
178,0
179,0
180,0
181,708806
182,0
183,0
184,0
185,0
186,0
187,645853
188,0
189,0
190,0
191,0
192,0
193,594846
194,0
195,0
196,0
197,0
198,102
199,645577
200,0
201,0
202,0
203,0
204,0
205,794591
206,0
207,0
208,0
209,0
210,0
211,691054
212,0
213,0
214,0
215,0
216,0
217,553981
218,0
219,0
220,0
221,0
222,0
223,666595
224,0
225,0
226,0
227,0
228,0
229,732389
230,0
231,0
232,114
