"Interval start","Alle Pakete"
17,720653
18,0
19,0
20,0
21,0
22,0
23,694277
24,0
25,0
26,0
27,0
28,0
29,626458
30,0
31,0
32,0
33,0
34,0
35,677674
36,0
37,0
38,0
39,0
40,0
41,673841
42,0
43,0
44,0
45,0
46,0
47,606071
48,0
49,0
50,0
51,0
52,0
53,570506
54,0
55,0
56,0
57,0
58,0
59,647907
60,0
61,0
62,0
63,0
64,102
65,704183
66,0
67,0
68,0
69,0
70,0
71,590367
72,0
73,0
74,0
75,0
76,99438
77,493687
78,0
79,0
80,0
81,0
82,683563
83,174
84,0
85,0
86,0
87,0
88,0
89,681815
90,0
91,0
92,0
93,0
94,0
95,644398
96,0
97,0
98,0
99,0
100,192
101,758762
102,0
103,0
104,0
105,0
106,0
107,466143
108,0
109,0
110,0
111,0
112,102
113,611108
114,0
115,0
116,0
117,0
118,0
119,636856
120,0
121,0
122,0
123,0
124,0
125,534468
126,0
127,0
128,0
129,0
130,0
131,441333
132,0
133,0
134,0
135,0
136,192
137,535078
138,0
139,0
140,0
141,0
142,192
143,484101
144,0
145,0
146,0
147,0
148,330480
149,272378
150,0
151,0
152,0
153,0
154,591371
155,0
156,0
157,0
158,0
159,0
160,102
161,669831
162,0
163,0
164,0
165,0
166,192
167,527148
168,0
169,0
170,0
171,0
172,252964
173,223276
174,0
175,0
176,0
177,0
178,0
179,690410
180,0
181,0
182,0
183,0
184,0
185,717295
186,0
187,0
188,0
189,0
190,192
191,685192
192,0
193,0
194,0
195,0
196,722120
197,0
198,0
199,0
200,0
201,0
202,0
203,595650
204,0
205,0
206,0
207,0
208,102
209,685806
