"Interval start","Alle Pakete"
0,15000
1,16000
2,2500
3,3500
4,2500
5,3500
6,16000
7,17000
8,16000
9,14700
10,2500
11,3500
12,2500
13,3500
14,2500
15,3500
16,2500
17,3500
18,2500
19,3500
20,2500
21,3500
22,2500
23,3500
24,2500
25,3500
26,2500
27,3500
28,2500
29,3500
30,2500
31,3500
32,2500
33,3500
34,2500
35,3500
36,2500
37,3500
38,2500
39,3500
40,2500
41,3500
42,2500
43,3500
44,2500
45,3500
46,2500
47,3500
48,2500
49,3500
50,2500
51,3500
52,2500
53,3500
54,2500
55,3500
56,2500
57,3500
58,2500
59,3500
60,2500
61,3500
62,2500
63,3500
64,2500
65,3500
66,2500
67,3500
68,2500
69,3500
70,2500
71,3500
72,2500
73,3500
74,2500
75,3500
76,2500
77,3500
78,2500
79,3500
80,2500
81,3500
82,2500
83,3500
84,2500
85,3500
86,2500
87,3500
88,2500
89,3500
90,2500
91,3500
92,2500
93,3500
94,2500
95,3500
96,2500
97,3500
98,2500
99,500000
