"Interval start","Alle Pakete"
0,373
1,347
2,453
3,119
4,311
5,1407
6,812
7,213
8,342
9,541
10,74
11,279
12,4
13,151
14,540
15,564
16,69
17,53
18,79
19,0
20,18
21,9
22,2
23,25
24,27
25,167
26,441
27,0
28,0
29,0
30,17
31,479
32,7
33,8
34,11
35,10
36,753
37,0
38,0
39,0
40,4
41,2
42,9
43,8
44,4
45,14
46,1562
47,13
48,0
49,0
50,0
51,6
52,9
53,2
54,10
55,4
56,8
57,0
58,0
59,4
60,20
61,283
62,1217
63,6
64,29
65,12
66,6
67,6
68,0
69,4
70,2
71,2
72,8
73,4
74,10
75,8
76,199
77,4
78,0
79,293
80,553
81,2
82,2
83,0
84,18
85,41
86,2
87,13
88,0
89,0
90,4
91,120
92,151
93,0
94,11
95,1276
96,2
97,6
98,0
99,0
100,2
101,0
102,2
103,15
104,2
105,10
106,238
107,6
108,0
109,0
110,0
111,2
112,2
113,1156
114,0
115,6
116,29
117,8
118,18
119,8
120,4
121,79
122,248
123,4
124,9
125,26
126,14
127,11
128,1067
129,52
130,4
131,10
132,4
133,4
134,8
135,0
136,4
137,353
138,2
139,0
140,0
141,2
142,4
143,12
144,4
145,0
146,4
147,4
148,0
149,0
150,0
151,1222
152,2
153,0
154,7
155,0
156,2
157,4
158,0
159,0
160,0
161,0
162,4
163,0
164,0
165,0
166,2
167,245
168,0
169,0
170,0
171,8
172,21
173,16
174,0
175,0
176,28
177,20
178,0
179,8
180,0
181,8
182,0
183,0
184,15
185,8
186,8
187,18
188,1226
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,247
198,2
199,0
200,0
201,0
202,0
203,4
204,9
205,33
206,8
207,20
208,2
209,0
210,0
211,0
212,0
213,98
214,0
215,0
216,0
217,2
218,2
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,13
227,5
228,2
229,0
230,0
231,4
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,7
248,0
249,0
250,0
251,0
252,0
253,0
254,9
255,0
256,23
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,13
287,7
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,13
317,0
318,0
319,0
320,0
321,0
322,0
323,2
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,14
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,13
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,54
388,0
389,22
390,153
391,0
392,0
393,0
394,0
395,12
396,0
397,0
398,0
399,4
400,16
401,0
402,0
403,0
404,0
405,0
406,13
407,0
408,0
409,0
410,20
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,10
421,10
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,4
431,16
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,4
441,16
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,44
